ID,LAT,LON,New_Greenl,Old_Greenl,Foreign_na,Official_n,Alternativ,RGI_ID,GLIMS_ID,RGI_LON,RGI_LAT,Type
GGN0720,83.163800,-36.962600,,,Dreng Bræ,Dreng Bræ,,RGI40-05.10988,G322874E83240N,-37.125900,83.240100,LGIC
GGN0721,83.233300,-33.333300,,,Sif Gletsjer,Sif Gletsjer,,RGI40-05.10893,G326894E83267N,-33.105800,83.267300,LGIC
GGN0722,83.271400,-33.922500,,,Nysne Gletsjer,Nysne Gletsjer,,RGI40-05.11024,G326293E83301N,-33.707500,83.300800,LGIC
GGN0723,83.316500,-28.414600,,,Ydun Gletsjer,Ydun Gletsjer,,RGI40-05.11042,G331745E83306N,-28.254900,83.305900,LGIC
GGN0724,83.316700,-34.250000,,,Sydgletsjer,Sydgletsjer,,RGI40-05.10959,G325843E83366N,-34.157300,83.365800,LGIC
GGN0725,83.323200,-34.581800,,,Modvindgletsjer,Modvindgletsjer,,RGI40-05.10959,G325843E83366N,-34.157300,83.365800,LGIC
GGN0726,83.363300,-38.560200,,,Thomas Gletsjer,Thomas Gletsjer,,RGI40-05.10957,G321679E83360N,-38.320700,83.360300,LGIC
GGN0727,83.386300,-34.257300,,,Malcantone Gletsjer,Malcantone Gletsjer,,RGI40-05.10959,G325843E83366N,-34.157300,83.365800,LGIC
GGN0728,83.409100,-29.604000,,,Borup Gletsjer,Borup Gletsjer,,RGI40-05.11037,G330072E83405N,-29.928100,83.405400,LGIC
GGN0729,83.421300,-36.782200,,,A. Harmsworth Gletsjer,A. Harmsworth Gletsjer,,RGI40-05.11001,G323832E83396N,-36.168400,83.396200,LGIC
GGN0730,83.437600,-28.502000,,,Moore Gletsjer,Moore Gletsjer,,RGI40-05.11026,G331489E83400N,-28.511100,83.400400,LGIC
GGN0731,83.450000,-34.333300,,,MacMillan Gletsjer,MacMillan Gletsjer,,RGI40-05.10889,G325659E83447N,-34.341400,83.447300,LGIC
GGN0732,83.453200,-27.627700,,,Bertelsen Gletsjer,Bertelsen Gletsjer,,RGI40-05.11025,G332052E83445N,-27.948400,83.445200,LGIC
GGN0733,83.458900,-34.722200,,,Nordgletsjer,Nordgletsjer,,RGI40-05.10887,G325109E83418N,-34.891500,83.418200,LGIC
